artifact,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint
candidate_id__qwen__qwen3-14b.json,candidate_id,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,id,147,52,35.4,ok,False,53299de7,68.3,07-26 15:39,http://localhost:1234/v1
cascade__grimgar03__llama-3.3-70b__a6000-batchtrig.json,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,396,227,57.3,ok,False,,0.1,07-30 02:58,http://127.0.0.1:8090/v1
cascade__grimgar03__llama-3.3-70b__a6000-batchtrig.json,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,396,292,73.7,ok,False,,0.1,07-30 02:58,http://127.0.0.1:8090/v1
cascade__grimgar03__llama-3.3-70b__a6000-contig.json,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,400,223,55.8,ok,False,,0.1,07-28 14:42,http://127.0.0.1:8090/v1
cascade__grimgar03__llama-3.3-70b__a6000-contig.json,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,400,311,77.8,ok,False,,0.1,07-28 14:42,http://127.0.0.1:8090/v1
cascade__grimgar03__llama-3.3-70b__tuned-cheap-arm.json,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cheap-w1,396,326,82.3,ok,False,,0.2,08-02 12:03,http://127.0.0.1:8090/v1
cascade__grimgar03__llama-3.3-70b__tuned-cheap-arm.json,cascade,grimgar03,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cascade,396,335,84.6,ok,False,,0.2,08-02 12:03,http://127.0.0.1:8090/v1
cascade__index18__google__gemma-3-27b__a6000-newbook.json,cascade,index18,qwen/qwen3-14b + google/gemma-3-27b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cheap-w1,99,62,62.6,ok,False,,0.1,07-29 14:09,http://localhost:1234/v1
cascade__index18__google__gemma-3-27b__a6000-newbook.json,cascade,index18,qwen/qwen3-14b + google/gemma-3-27b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cascade,99,65,65.7,ok,False,,0.1,07-29 14:09,http://localhost:1234/v1
cascade__index18__llama-3.3-70b__a6000-batchtrig.json,cascade,index18,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,99,62,62.6,ok,False,,0.1,07-30 03:28,http://127.0.0.1:8090/v1
